omega_atom_ghz,fidelity,leakage,U1_over_Omega_a,Delta_over_etaOmega_i
0.2,0.34737476657222344,0.42345917443430625,1.0566142555407945,5.977854400672041
0.3,0.4773019953696851,0.3970843643153549,0.704409503693863,5.977854400672041
0.4,0.6010026847505004,0.3326057038077541,0.5283071277703972,5.977854400672041
0.5,0.6966572685786012,0.26677564445178714,0.42264570221631775,5.977854400672041
0.6,0.7660185462653482,0.21224555074591156,0.3522047518469315,5.977854400672041
0.7,0.8158082579563082,0.17009304310897155,0.30188978729736987,5.977854400672041
0.8,0.8519602526255625,0.13806678038167708,0.2641535638851986,5.977854400672041
0.8999999999999999,0.8787049986077632,0.11365858545014995,0.23480316789795433,5.977854400672041
1.0,0.8988932201663855,0.09485080163259607,0.21132285110815888,5.977854400672041
1.0999999999999999,0.9144308359029715,0.08015907822027812,0.192111682825599,5.977854400672041
1.2,0.9266048491374113,0.06851971535691992,0.17610237592346575,5.977854400672041
1.2999999999999998,0.936298871670504,0.05917252329656919,0.16255603931396842,5.977854400672041
1.4,0.9441309690299422,0.05157032077237922,0.15094489364868494,5.977854400672041
1.4999999999999998,0.9505416160155828,0.045314758694033785,0.14088190073877263,5.977854400672041
1.5999999999999999,0.9558503869900357,0.04011206783313104,0.1320767819425993,5.977854400672041
1.6999999999999997,0.9602930532286788,0.03574271477897539,0.12430755947538759,5.977854400672041
1.7999999999999998,0.9640462755975129,0.03204050266095515,0.11740158394897716,5.977854400672041
1.9,0.9672443278026044,0.02887804518587256,0.11122255321482045,5.977854400672041
1.9999999999999998,0.9699906154233572,0.026156556215419124,0.10566142555407945,5.977854400672041
2.1,0.9723657393507612,0.023798585519035798,0.10062992909912327,5.977854400672041
2.1999999999999997,0.9744332268750135,0.02174278701203658,0.0960558414127995,5.977854400672041
2.3,0.9762436636197019,0.01994010531593937,0.09187950048180822,5.977854400672041
2.4,0.9778377125434787,0.01835096376994938,0.08805118796173288,5.977854400672041
2.5,0.9792483474089829,0.016943167846539486,0.08452914044326355,5.977854400672041
2.6,0.9805025244139595,0.015690325465880894,0.0812780196569842,5.977854400672041
2.7,0.981622446952529,0.014570644889286166,0.07826772263265144,5.977854400672041
2.8,0.9826265322758261,0.013566011320706561,0.07547244682434247,5.977854400672041
2.9,0.9835301573423942,0.012661271292566445,0.07286994865798582,5.977854400672041
3.0,0.9843462394220769,0.011843673431166657,0.0704409503693863,5.977854400672041
3.1,0.9850856918376214,0.01110242797352956,0.06816866164779319,5.977854400672041
3.1999999999999997,0.9857577844999424,0.010428357230667928,0.06603839097129965,5.977854400672041
3.3,0.9863704312275736,0.009813616265318847,0.06403722760853299,5.977854400672041
3.4,0.9869304203071094,0.009251468193093082,0.06215377973769379,5.977854400672041
3.5,0.98744360071743,0.008736102286248881,0.06037795745947397,5.977854400672041
3.6,0.9879150334725022,0.008262485848143819,0.058700791974488575,5.977854400672041
3.6999999999999997,0.9883491153346613,0.007826242906303849,0.057114284083286185,5.977854400672041
3.8,0.9887496805016674,0.00742355433530606,0.05561127660741023,5.977854400672041
3.9,0.989120084627295,0.007051075204452362,0.05418534643798946,5.977854400672041
4.0,0.9894632745901328,0.0067058660480363574,0.05283071277703972,5.977854400672041
4.1,0.9897818467019832,0.006385335449191953,0.05154215880686803,5.977854400672041
4.199999999999999,0.9900780954898526,0.006087191864071917,0.05031496454956164,5.977854400672041
4.3,0.990354054753255,0.005809403029711779,0.04914484909492067,5.977854400672041
4.3999999999999995,0.9906115322612532,0.005550161624807148,0.04802792070639975,5.977854400672041
4.5,0.9908521391888685,0.005307856109048936,0.04696063357959086,5.977854400672041
4.6,0.9910773151835206,0.005081045869426815,0.04593975024090411,5.977854400672041
4.7,0.991288349786316,0.004868439963158222,0.04496230874641678,5.977854400672041
4.8,0.9914864008006979,0.004668878875754845,0.04402559398086644,5.977854400672041
4.8999999999999995,0.9916725100949808,0.004481318816156543,0.04312711247105284,5.977854400672041
5.0,0.991847617239836,0.004304818154340806,0.04226457022163178,5.977854400672041
