distance_um,omega_bar_mhz,x_shift_um
2.0,8.17088926736856,-0.8788728699642071
2.011583011583012,8.292266606315915,-0.8290455204347369
2.023166023166023,8.407199023485317,-0.7837082434151184
2.034749034749035,8.516155562957772,-0.742289400172949
2.0463320463320462,8.619558121659319,-0.7043104855551137
2.057915057915058,8.717787763586495,-0.6693678947564078
2.0694980694980694,8.811189970725625,-0.6371188125562052
2.081081081081081,8.900079044341222,-0.607270177084822
2.0926640926640925,8.984741820979261,-0.5795699639559274
2.1042471042471043,9.065440830945882,-0.5538002408625613
2.115830115830116,9.14241699956405,-0.5297715867953924
2.1274131274131274,9.215891970676196,-0.5073185729910502
2.138996138996139,9.286070115890123,-0.4862960771912406
2.1505791505791505,9.353140280706722,-0.4665762572807876
2.1621621621621623,9.41727730901993,-0.44804605066133174
2.1737451737451736,9.478643379884506,-0.4306050958027691
2.1853281853281854,9.537389184422867,-0.4141639950890217
2.1969111969111967,9.593654965928192,-0.3986428553128554
2.2084942084942085,9.64757144234849,-0.3839700553866678
2.22007722007722,9.699260627200392,-0.3700812010409451
2.2316602316602316,9.74883656240711,-0.3569182342211169
2.2432432432432434,9.796405974461946,-0.34442867111247005
2.2548262548262548,9.842068863594774,-0.3325649476258455
2.2664092664092665,9.885919034191081,-0.32128385506640866
2.277992277992278,9.928044573525339,-0.31054605181129497
2.2895752895752897,9.96852828487719,-0.30031563931210203
2.301158301158301,10.007448080265059,-0.2905597927467658
2.312741312741313,10.044877337328506,-0.2812484382736505
2.324324324324324,10.080885224295141,-0.2723539701670591
2.335907335907336,10.115536996461909,-0.2638510021987534
2.3474903474903472,10.148894267188673,-0.2557161485221734
2.359073359073359,10.181015256032548,-0.24792783005234467
2.370656370656371,10.211955016333713,-0.2404661029446477
2.382239382239382,10.241765644290014,-0.23331250628320047
2.393822393822394,10.270496471320943,-0.2264499265134455
2.4054054054054053,10.298194241316518,-0.21986247650868176
2.416988416988417,10.324903274188328,-0.21353538745887027
2.4285714285714284,10.350665616984308,-0.20745491202196886
2.44015444015444,10.375521183693037,-0.20160823739119937
2.4517374517374515,10.39950788474402,-0.19598340711261045
2.4633204633204633,10.422661747105831,-0.19056925064132968
2.474903474903475,10.445017025791635,-0.18535531975642863
2.4864864864864864,10.46660630750033,-0.18033183106689113
2.498069498069498,10.487460607049393,-0.17548961393782914
2.5096525096525095,10.507609457191734,-0.1708200632492461
2.5212355212355213,10.527080992352104,-0.1663150964713817
2.5328185328185326,10.545902026768069,-0.1619671146027197
2.5444015444015444,10.564098127475527,-0.1577689665704986
2.5559845559845558,10.581693682538527,-0.1537139167402804
2.5675675675675675,10.598711964887064,-0.14979561522178725
2.5791505791505793,10.615175192094203,-0.14600807069369945
2.5907335907335907,10.631104582394942,-0.14234562550110777
2.6023166023166024,10.646520407222996,-0.13880293280648273
2.613899613899614,10.66144204051823,-0.13537493559886382
2.6254826254826256,10.675888005036217,-0.1320568473869195
2.637065637065637,10.68987601587216,-0.12884413442000683
2.6486486486486487,10.703423021394082,-0.12573249929763647
